timestamp,table_1,table_2,table_3,table_4,table_5,table_6
07-03-2026 13:44:11,0,0,0,0,0,0
07-03-2026 13:44:12,0,0,0,0,0,0
07-03-2026 13:44:13,0,0,0,0,0,0
07-03-2026 13:44:14,0,0,0,0,0,0
07-03-2026 13:44:15,0,0,0,0,0,0
07-03-2026 13:44:16,0,0,0,0,0,0
07-03-2026 13:44:17,0,0,0,0,0,0
07-03-2026 13:44:18,0,0,0,0,0,0
07-03-2026 13:44:19,0,0,0,0,0,0
07-03-2026 13:44:20,0,0,0,0,0,0
07-03-2026 13:44:21,0,0,0,0,0,0
07-03-2026 13:44:22,0,0,0,0,0,0
07-03-2026 13:44:23,0,0,0,0,0,0
07-03-2026 13:44:24,0,0,0,0,0,0
07-03-2026 13:44:25,0,0,0,0,0,0
07-03-2026 13:44:26,0,0,0,0,0,0
07-03-2026 13:44:27,0,0,0,0,0,0
07-03-2026 13:44:28,0,0,0,0,0,0
07-03-2026 13:44:29,0,0,0,0,0,0
07-03-2026 13:44:30,0,0,0,0,0,0
07-03-2026 13:44:31,0,0,0,0,0,0
07-03-2026 13:44:33,0,0,0,0,0,0
07-03-2026 13:44:34,0,0,0,0,0,0
07-03-2026 13:44:35,0,0,0,0,0,0
07-03-2026 13:44:36,0,0,0,0,0,0
07-03-2026 13:44:37,0,0,0,0,0,0
07-03-2026 13:44:38,0,0,0,0,0,0
07-03-2026 13:44:39,0,0,0,0,0,0
07-03-2026 13:44:40,0,0,0,0,0,0
07-03-2026 13:44:41,0,0,0,0,0,0
07-03-2026 13:44:42,0,0,0,0,0,0
07-03-2026 13:44:43,0,0,0,0,0,0
07-03-2026 13:44:44,0,0,0,0,0,0
07-03-2026 13:44:45,0,0,0,0,0,0
07-03-2026 13:44:46,0,0,0,0,0,0
07-03-2026 13:44:47,0,0,0,0,0,0
07-03-2026 13:44:48,0,0,0,0,0,0
07-03-2026 13:44:49,0,0,0,0,0,0
07-03-2026 13:44:50,0,0,0,0,0,0
07-03-2026 13:44:51,0,0,0,0,0,0
07-03-2026 13:44:52,0,0,0,0,0,0
07-03-2026 13:44:53,0,0,0,0,0,0
07-03-2026 13:44:54,0,0,0,0,0,0
07-03-2026 13:44:56,0,0,0,0,0,0
07-03-2026 13:44:57,0,0,0,0,0,0
07-03-2026 13:44:58,0,0,0,0,0,0
07-03-2026 13:44:59,0,0,0,0,0,0
07-03-2026 13:45:00,0,0,0,0,0,0
07-03-2026 13:45:01,0,0,0,0,0,0
07-03-2026 13:45:02,0,0,0,0,0,0
07-03-2026 13:45:03,0,0,0,0,0,0
07-03-2026 13:45:04,0,0,0,0,0,0
07-03-2026 13:45:05,0,0,0,0,0,0
07-03-2026 13:45:06,0,0,0,0,0,0
07-03-2026 13:45:07,0,0,0,0,0,0
07-03-2026 13:45:08,0,0,0,0,0,0
07-03-2026 13:45:09,0,0,0,0,0,0
07-03-2026 13:45:10,0,0,0,0,0,0
07-03-2026 13:45:12,0,0,0,0,0,0
07-03-2026 13:45:13,0,0,0,0,0,0
07-03-2026 13:45:14,0,0,0,0,0,0
07-03-2026 13:45:15,0,0,0,0,0,0
07-03-2026 13:45:16,0,0,0,0,0,0
07-03-2026 13:45:17,0,0,0,0,0,0
07-03-2026 13:45:18,0,0,0,0,0,0
07-03-2026 13:45:20,0,0,0,0,0,0
07-03-2026 13:45:21,0,0,0,0,0,0
07-03-2026 13:45:22,0,0,0,0,0,0
07-03-2026 13:45:25,0,0,0,0,0,0
07-03-2026 13:45:26,0,0,0,0,0,0
07-03-2026 13:45:27,0,0,0,0,0,0
07-03-2026 13:45:28,0,0,0,0,0,0
07-03-2026 13:45:29,0,0,0,0,0,0
07-03-2026 13:45:30,0,0,0,0,0,0
07-03-2026 13:45:31,0,0,0,0,0,0
07-03-2026 13:45:32,0,0,0,0,0,0
07-03-2026 13:45:33,0,0,0,0,0,0
07-03-2026 13:45:34,0,0,0,0,0,0
